atletas.atleta_id,atletas.apelido,Posição,G,A,FT,FD,FF,FS,PS,PE,I,PP,DS,FC,GC,CA,CV,PC,SG,DE,DP,GS,Finalizacoes_Totais,Finalizacoes_Perigosas,Participação_Gols,Índice_Defensivo,pontos_fantasy,Eficiência_Chute
116025,Petterson,ATA,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,36.00000000000001,0.0
116034,Victor Hugo,MEI,0.0,0.0,0.0,31.0,25.0,29.0,0.0,0,0.0,0.0,63.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,31.0,0.0,39.0,140.1,0.0
116065,Cuiabano,LAT,62.0,50.0,25.0,89.0,176.0,394.0,0.0,0,30.0,0.0,499.0,493.0,0.0,86.0,0.0,0.0,263.0,0.0,0.0,0.0,290.0,114.0,112.0,269.0,2942.5,0.21379310344827587
116067,Thiago Beltrame,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116104,Gustavo Lacerda,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116447,Hércules,MEI,63.0,5.0,43.0,82.0,221.0,229.0,0.0,0,5.0,0.0,638.0,695.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,125.0,68.0,-57.0,1567.3,0.18208092485549132
116461,Jamerson,LAT,0.0,68.0,0.0,175.0,202.0,224.0,0.0,0,37.0,0.0,651.0,261.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,377.0,175.0,68.0,445.0,1797.8,0.0
116589,Lucas Gazal,ZAG,0.0,0.0,0.0,13.0,33.0,14.0,0.0,0,0.0,0.0,43.0,64.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,0.0,46.0,13.0,0.0,-7.0,128.4,0.0
116706,Andrés Gómez,ATA,3.0,58.0,0.0,83.0,74.0,133.0,0.0,0,29.0,0.0,78.0,186.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,83.0,61.0,-108.0,558.1999999999999,0.01910828025477707
117044,Gabriel Souza,LAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117061,Gabriel Knesowitsch,ZAG,0.0,0.0,0.0,44.0,15.0,57.0,0.0,0,0.0,0.0,57.0,15.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,59.0,44.0,0.0,80.0,347.2,0.0
117314,Thiago Borbas,ATA,26.0,18.0,0.0,53.0,95.0,154.0,0.0,0,0.0,0.0,124.0,294.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,53.0,44.0,-170.0,474.20000000000005,0.17567567567567569
117330,Robert Renan,ZAG,0.0,0.0,0.0,8.0,35.0,48.0,0.0,0,0.0,0.0,128.0,141.0,0.0,12.0,0.0,0.0,44.0,0.0,0.0,0.0,43.0,8.0,0.0,31.0,380.9,0.0
117336,Cipriano,ZAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.0,-88.69999999999999,0.0
117403,Renato Marques,ATA,2.0,0.0,0.0,17.0,23.0,22.0,0.0,0,2.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,17.0,2.0,7.0,73.8,0.05
117404,Otávio,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
